Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,country,country_name
2019-06-13,7822.56005859375,7848.35986328125,7813.60009765625,7837.1298828125,1848360000,0.0,0.0,^IXIC,USA,United States
2019-06-14,7807.18994140625,7819.2099609375,7778.1201171875,7796.66015625,1808370000,0.0,0.0,^IXIC,USA,United States
2019-06-17,7819.43017578125,7865.97998046875,7812.60986328125,7845.02001953125,1950550000,0.0,0.0,^IXIC,USA,United States
2019-06-18,7920.97998046875,8005.2099609375,7911.669921875,7953.8798828125,2250550000,0.0,0.0,^IXIC,USA,United States
2019-06-19,7970.259765625,7998.58984375,7930.3798828125,7987.31982421875,2027520000,0.0,0.0,^IXIC,USA,United States
2019-06-20,8087.4501953125,8088.8798828125,7996.8701171875,8051.33984375,2108250000,0.0,0.0,^IXIC,USA,United States
2019-06-21,8028.68994140625,8073.02001953125,8011.2001953125,8031.7099609375,2909540000,0.0,0.0,^IXIC,USA,United States
2019-06-24,8040.580078125,8047.56005859375,8004.6298828125,8005.7001953125,2073470000,0.0,0.0,^IXIC,USA,United States
2019-06-25,8005.27001953125,8007.31005859375,7879.14990234375,7884.72021484375,2132550000,0.0,0.0,^IXIC,USA,United States
2019-06-26,7933.919921875,7974.27978515625,7903.06982421875,7909.97021484375,2122730000,0.0,0.0,^IXIC,USA,United States
2019-06-27,7939.35986328125,7976.580078125,7935.47021484375,7967.759765625,2083920000,0.0,0.0,^IXIC,USA,United States
2019-06-28,7988.759765625,8010.14990234375,7961.4599609375,8006.240234375,4101490000,0.0,0.0,^IXIC,USA,United States
2019-07-01,8145.85009765625,8150.4501953125,8059.2900390625,8091.16015625,2219030000,0.0,0.0,^IXIC,USA,United States
2019-07-02,8086.64990234375,8109.3701171875,8063.10986328125,8109.08984375,1956590000,0.0,0.0,^IXIC,USA,United States
2019-07-03,8129.56982421875,8170.22998046875,8122.33984375,8170.22998046875,1548240000,0.0,0.0,^IXIC,USA,United States
2019-07-05,8123.27978515625,8171.97021484375,8093.66015625,8161.7900390625,1690700000,0.0,0.0,^IXIC,USA,United States
2019-07-08,8112.91015625,8161.7900390625,8078.39013671875,8098.3798828125,1957160000,0.0,0.0,^IXIC,USA,United States
2019-07-09,8061.41015625,8146.97998046875,8061.31982421875,8141.72998046875,1871430000,0.0,0.0,^IXIC,USA,United States
